""
;Timestamp;Entero;EntradaNode;Real;Salida
0;2022-11-28 08:28:43;7;False;95;False
1;2022-11-28 08:28:58;22;False;110;False
2;2022-11-28 08:29:13;37;False;125;False
3;2022-11-28 08:29:43;17;False;5;False
4;2022-11-28 08:29:58;32;False;20;False
5;2022-11-28 08:30:13;47;False;35;False
6;2022-11-28 08:30:43;27;False;65;False
7;2022-11-28 08:30:58;42;False;80;False
8;2022-11-28 08:31:13;7;False;95;False
9;2022-11-28 08:31:43;37;False;125;False
10;2022-11-28 08:31:58;2;False;140;False
11;2022-11-28 08:32:13;17;False;5;False
12;2022-11-28 08:32:43;47;False;35;False
13;2022-11-28 08:32:58;12;False;50;False
14;2022-11-28 08:33:13;27;False;65;False
15;2022-11-28 08:33:43;7;False;95;False
16;2022-11-28 08:33:58;22;False;110;False
17;2022-11-28 08:34:13;37;False;125;False
18;2022-11-28 08:34:43;17;False;5;False
19;2022-11-28 08:34:58;32;False;20;False
20;2022-11-28 08:35:13;47;False;35;False
21;2022-11-28 08:35:43;27;False;65;False
22;2022-11-28 08:35:58;42;False;80;False
23;2022-11-28 08:36:13;7;False;95;False
24;2022-11-28 08:36:43;37;False;125;False
25;2022-11-28 08:36:58;2;False;140;False
26;2022-11-28 08:37:13;17;False;5;False
27;2022-11-28 08:37:43;47;False;35;False
28;2022-11-28 08:37:58;12;False;50;False
29;2022-11-28 08:38:13;27;False;65;False
30;2022-11-28 08:38:43;7;False;95;False
31;2022-11-28 08:38:58;22;False;110;False
32;2022-11-28 08:39:13;37;False;125;False
33;2022-11-28 08:39:43;17;False;5;False
34;2022-11-28 08:39:58;32;False;20;False
35;2022-11-28 08:40:13;47;False;35;False
36;2022-11-28 08:40:43;27;False;65;False
37;2022-11-28 08:40:58;42;False;80;False
38;2022-11-28 08:41:13;7;False;95;False
39;2022-11-28 08:41:43;37;False;125;False
40;2022-11-28 08:41:58;2;False;140;False
41;2022-11-28 08:42:13;17;False;5;False
42;2022-11-28 08:42:43;47;False;35;False
43;2022-11-28 08:42:58;12;False;50;False
44;2022-11-28 08:43:13;27;False;65;False
